County,Case rate,Death rate
Addison,2896,22
Bennington,5774,42
Caledonia,3594,23
Chittenden,4594,64
Essex,4787,32
Franklin,4109,79
Grand Isle,2999,28
Lamoille,3505,12
Orange,2845,10
Orleans,4779,41
Rutland,3932,34
Washington,3249,26
Windham,3297,33
Windsor,2748,24
