County,Case rate,Death rate
Androscoggin,7766,79
York,6517,65
Oxford,6289,116
Cumberland,5847,68
Kennebec,5402,61
Franklin,4590,50
Somerset,4526,65
Penobscot,4171,64
Sagadahoc,4111,31
Piscataquis,3503,42
Lincoln,3121,9
Washington,3005,57
Knox,2879,15
Aroostook,2836,72
Waldo,2649,53
Hancock,2502,69
