ACSDP5Y2019.DP05_data_with_overlays_2021-06-17T112830
GEO_ID,NAME,DP05_0038E,DP05_0038PE
id,County,Estimate Black or African American,Percent Black or African American
0500000US13303,Washington County ,10856,53.1
0500000US13305,Wayne County ,6127,20.6
0500000US13307,Webster County ,971,37.2
0500000US13309,Wheeler County ,3440,43.4
0500000US13311,White County ,430,1.5
0500000US13313,Whitfield County ,4011,3.8
0500000US13315,Wilcox County ,3131,35.5
0500000US13317,Wilkes County ,4193,42.6
0500000US13319,Wilkinson County ,3509,38.9
0500000US13321,Worth County ,5741,28.0
0400000US13,Georgia,3289020,31.6
