Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Lycoming,02/11/2021,42,50.1,8818,113299,37.1,44.3,7782.9,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Warren,05/28/2021,1,1.3,2621,39191,2.6,3.3,6687.8,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Northampton,06/16/2020,6,8.7,3278,305285,2,2.9,1073.8,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Clarion,04/09/2020,3,1.1,12,38438,7.8,3,31.2,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Susquehanna,03/10/2020,0,0,0,40328,0,0,0,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Wayne,09/06/2020,2,2.9,199,51361,3.9,5.6,387.5,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Monroe,03/08/2020,0,0,0,170271,0,0,0,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Fulton,04/26/2020,0,0,2,14530,0,0,13.8,42057,-78.11485045,39.92487511,POINT (-78.11485045 39.92487511)
Fayette,03/14/2020,0,0,0,129274,0,0,0,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Erie,04/02/2020,1,1.9,22,269728,0.4,0.7,8.2,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Butler,01/20/2021,104,101.9,12089,187853,55.4,54.2,6435.4,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Indiana,04/22/2020,3,2,58,84073,3.6,2.4,69,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Schuylkill,08/30/2020,1,2.7,1012,141359,0.7,1.9,715.9,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Lycoming,09/25/2020,11,7.3,683,113299,9.7,6.4,602.8,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Dauphin,03/03/2020,0,,0,278299,0,,0,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Northampton,04/23/2020,61,53.9,1741,305285,20,17.6,570.3,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Northampton,07/04/2020,7,12.1,3497,305285,2.3,4,1145.5,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Forest,08/21/2020,0,0.1,13,7247,0,2,179.4,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Bradford,04/13/2020,1,1,21,60323,1.7,1.7,34.8,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Mercer,01/02/2021,62,68.3,6245,109424,56.7,62.4,5707.2,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
